date,open,high,low,close,volume
2026-03-18,99.88,99.88,99.5,99.57,1694600
2026-03-19,99.5,99.69,99.36,99.48,1398900
2026-03-20,99.73,99.75,99.37,99.55,1315000
2026-03-23,99.71,99.95,99.71,99.86,1818100
2026-03-24,99.89,99.98,99.87,99.95,1681700
2026-03-25,99.99,100.0,99.93,99.94,1524600
2026-03-26,99.95,100.0,99.94,99.97,2129200
2026-03-27,99.9,99.94,99.63,99.91,2111000
2026-03-30,99.99,100.0,99.82,99.965,2111400
2026-03-31,100.0,100.02,99.9,100.02,5227300
2026-04-01,100.02,100.02,99.97,100.0,1597900
2026-04-02,99.96,100.01,99.94,100.0,2104100
2026-04-06,99.99,100.01,99.99,100.0,1659900
2026-04-07,100.0,100.01,99.98,100.0,1703500
2026-04-08,100.0,100.01,99.99,100.0,3331400
2026-04-09,100.0,100.11,100.0,100.0,3097800
2026-04-10,100.01,100.01,100.0,100.0,5293500
2026-04-13,100.01,100.01,100.0,100.0,11728000
2026-04-14,100.0,100.1,100.0,100.0,15823400
2026-04-15,99.44,99.49,99.1,99.32,5039400
2026-04-16,99.4,99.42,98.95,99.06,3326800
2026-04-17,99.23,99.35,99.12,99.21,3376500
2026-04-20,99.44,99.48,99.25,99.32,3092600
2026-04-21,99.41,99.5,99.24,99.29,1877200
2026-04-22,99.47,99.52,99.4,99.44,2684100
2026-04-23,99.5,99.67,99.45,99.6,1795800
2026-04-24,99.66,99.76,99.53,99.53,2205500
2026-04-27,99.63,99.7,99.43,99.45,2012700
2026-04-28,99.5,99.55,99.37,99.45,1870600
2026-04-29,99.52,99.57,99.46,99.47,1902900
2026-04-30,99.52,99.84,99.52,99.75,2508700
2026-05-01,99.88,99.9,99.81,99.86,2572600
2026-05-04,99.94,99.95,99.89,99.95,2636600
2026-05-05,99.98,99.98,99.92,99.96,2372500
2026-05-06,99.98,99.98,99.95,99.97,2519800
2026-05-07,99.96,99.98,99.92,99.96,2111400
2026-05-08,99.99,99.99,99.97,99.99,2192300
2026-05-11,100.0,100.01,99.99,100.0,4467800
2026-05-12,100.01,100.01,99.99,99.99,3722800
2026-05-13,100.0,100.01,99.99,100.0,5136000
2026-05-14,100.0,100.01,99.99,100.0,15608600
2026-05-15,99.15,99.33,98.95,99.19,5019700
2026-05-18,99.21,99.3,98.5,98.61,4647500
2026-05-19,98.88,99.05,98.65,98.99,2018100
2026-05-20,99.1,99.35,99.03,99.16,1619500
2026-05-21,99.22,99.505,99.145,99.32,1970200
2026-05-22,99.42,99.44,99.2,99.3,1718100
